round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario14 C ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 10 -5185.19997597 18717 user
1 usuario1 D ['usuario3', 'usuario11', 'usuario4', 'usuario14'] C 24 -19521.3999748 4353 user
1 usuario11 C ['usuario9', 'usuario2', 'usuario8', 'usuario1'] D 10 -20665.199995 3447 user
1 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] C 15 -17713.7000561 6552 user
1 usuario15 C ['usuario14', 'usuario4', 'usuario10', 'usuario6'] C 15 -14396.2001801 10201 user
1 usuario4 C ['usuario1', 'usuario8', 'usuario5', 'usuario15'] C 5 -17472.39995 6846 user
1 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] C 19 -32.6998233795 23753 user
1 usuario6 C ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 10 -13418.6999798 10823 user
1 usuario10 D ['usuario15', 'usuario5', 'usuario7', 'usuario13'] D 9 -9285.79998016 14218 user
1 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] D 14 -18619.9998856 5479 user
1 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 9 -17752.0999908 6298 user
1 usuario13 D ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 9 -11349.0998745 12654 user
1 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] D 14 -16466.0000801 7744 user
1 usuario3 C ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 5 -12345.9000587 11464 user
1 usuario9 C ['usuario16', 'usuario12', 'usuario11', 'usuario3'] C 10 -10414.4999981 13195 user
1 usuario12 D ['usuario13', 'usuario7', 'usuario2', 'usuario9'] C 14 -20564.2001629 3603 user
2 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 14 -6213.39988708 13646 user
2 usuario1 C ['usuario3', 'usuario11', 'usuario4', 'usuario14'] D 10 -15516.5998936 4699 user
2 usuario11 C ['usuario9', 'usuario2', 'usuario8', 'usuario1'] C 15 -15504.1999817 3780 user
2 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] C 5 -14742.7000999 4600 user
2 usuario15 D ['usuario14', 'usuario4', 'usuario10', 'usuario6'] D 9 -6240.80014229 14036 user
2 usuario4 C ['usuario1', 'usuario8', 'usuario5', 'usuario15'] D 5 -11356.5998077 8814 user
2 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] C 14 -1089.99991417 18783 user
2 usuario6 D ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 9 -8327.19993591 11588 user
2 usuario10 D ['usuario15', 'usuario5', 'usuario7', 'usuario13'] D 4 -39.5998954773 20872 user
2 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] D 9 -7263.4999752 12084 user
2 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 9 -13611.2999916 5730 user
2 usuario13 D ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 4 -11363.1000519 8228 user
2 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] D 4 -1085.89982986 19173 user
2 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 14 -8286.00001335 11542 user
2 usuario9 C ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 5 -12606.400013 7301 user
2 usuario12 D ['usuario13', 'usuario7', 'usuario2', 'usuario9'] C 14 -13377.9001236 6945 user
3 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] D 9 -4153.80001068 10330 user
3 usuario1 C ['usuario3', 'usuario11', 'usuario4', 'usuario14'] D 15 -10307.2998524 3292 user
