round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario7 C ['usuario6', 'usuario13', 'usuario4', 'usuario9'] D 10 -16506.9999695 4372 user
1 usuario13 D ['usuario5', 'usuario16', 'usuario12', 'usuario7'] C 19 -16549.4000912 4713 user
1 usuario16 D ['usuario14', 'usuario9', 'usuario1', 'usuario13'] D 14 -7244.70019341 14195 user
1 usuario9 D ['usuario8', 'usuario7', 'usuario3', 'usuario16'] D 14 -14425.4000187 6040 user
1 usuario4 C ['usuario7', 'usuario12', 'usuario15', 'usuario3'] C 15 -14524.4998932 5654 user
1 usuario12 C ['usuario13', 'usuario1', 'usuario11', 'usuario4'] C 15 -7252.20012665 13754 user
1 usuario1 C ['usuario16', 'usuario3', 'usuario2', 'usuario12'] C 10 -15760.999918 4708 user
1 usuario3 C ['usuario9', 'usuario4', 'usuario10', 'usuario1'] C 15 -27.9998779297 21214 user
1 usuario15 D ['usuario4', 'usuario11', 'usuario6', 'usuario10'] C 24 -16512.1998787 3960 user
1 usuario11 C ['usuario12', 'usuario2', 'usuario5', 'usuario15'] D 10 -16492.5000668 4707 user
1 usuario2 D ['usuario1', 'usuario10', 'usuario14', 'usuario11'] C 24 -14437.5998974 6797 user
1 usuario10 C ['usuario3', 'usuario15', 'usuario8', 'usuario2'] D 5 -16509.1001987 4121 user
1 usuario6 C ['usuario15', 'usuario5', 'usuario7', 'usuario8'] D 10 -8080.80005646 12901 user
1 usuario5 C ['usuario11', 'usuario14', 'usuario13', 'usuario6'] C 15 -17565.0999546 3088 user
1 usuario14 C ['usuario2', 'usuario8', 'usuario16', 'usuario5'] C 5 -16834.5999718 3983 user
1 usuario8 D ['usuario10', 'usuario6', 'usuario9', 'usuario14'] C 19 -8301.10001564 12678 user
2 usuario7 C ['usuario6', 'usuario13', 'usuario4', 'usuario9'] D 10 -10349.2999077 10692 user
2 usuario13 D ['usuario5', 'usuario16', 'usuario12', 'usuario7'] C 14 -13410.6001854 6855 user
2 usuario16 D ['usuario14', 'usuario9', 'usuario1', 'usuario13'] D 14 -10322.0000267 10074 user
2 usuario9 D ['usuario8', 'usuario7', 'usuario3', 'usuario16'] D 14 -15486.9000912 6165 user
2 usuario4 C ['usuario7', 'usuario12', 'usuario15', 'usuario3'] C 15 -18523.6999989 2318 user
2 usuario12 C ['usuario13', 'usuario1', 'usuario11', 'usuario4'] C 10 -11457.9000473 9847 user
2 usuario1 C ['usuario16', 'usuario3', 'usuario2', 'usuario12'] C 10 -13682.8999519 7764 user
2 usuario3 C ['usuario9', 'usuario4', 'usuario10', 'usuario1'] C 15 -10340.0998116 10319 user
2 usuario15 D ['usuario4', 'usuario11', 'usuario6', 'usuario10'] C 19 -11363.0001545 9767 user
2 usuario11 D ['usuario12', 'usuario2', 'usuario5', 'usuario15'] D 9 -9297.89996147 11366 user
2 usuario2 D ['usuario1', 'usuario10', 'usuario14', 'usuario11'] D 19 -7237.29991913 12968 user
2 usuario10 C ['usuario3', 'usuario15', 'usuario8', 'usuario2'] D 5 -16006.5999031 4881 user
2 usuario6 C ['usuario15', 'usuario5', 'usuario7', 'usuario8'] D 5 -13449.8000145 7884 user
2 usuario5 D ['usuario11', 'usuario14', 'usuario13', 'usuario6'] C 14 -27.2998809814 20851 user
2 usuario14 C ['usuario2', 'usuario8', 'usuario16', 'usuario5'] D 0 -15802.2999763 4164 user
2 usuario8 D ['usuario10', 'usuario6', 'usuario9', 'usuario14'] C 19 -9299.0000248 11482 user
3 usuario7 D ['usuario6', 'usuario13', 'usuario4', 'usuario9'] D 9 -13164.8001671 7622 user
3 usuario13 D ['usuario5', 'usuario16', 'usuario12', 'usuario7'] D 14 -14451.800108 6776 user
3 usuario16 C ['usuario14', 'usuario9', 'usuario1', 'usuario13'] D 5 -7229.89988327 13763 user
3 usuario9 D ['usuario8', 'usuario7', 'usuario3', 'usuario16'] C 14 -17518.3999538 2774 user
3 usuario4 C ['usuario7', 'usuario12', 'usuario15', 'usuario3'] C 10 -18563.3997917 1679 user
3 usuario12 C ['usuario13', 'usuario1', 'usuario11', 'usuario4'] C 10 -14435.4000092 6649 user
3 usuario1 C ['usuario16', 'usuario3', 'usuario2', 'usuario12'] C 20 -17864.700079 2392 user
3 usuario3 C ['usuario9', 'usuario4', 'usuario10', 'usuario1'] C 15 -3123.29983711 17523 user
3 usuario15 D ['usuario4', 'usuario11', 'usuario6', 'usuario10'] C 14 -15495.6998825 5309 user
3 usuario11 D ['usuario12', 'usuario2', 'usuario5', 'usuario15'] D 14 -4153.50008011 16832 user
3 usuario2 C ['usuario1', 'usuario10', 'usuario14', 'usuario11'] D 10 -11358.2999706 10172 user
3 usuario10 C ['usuario3', 'usuario15', 'usuario8', 'usuario2'] C 10 -17530.8001041 4069 user
3 usuario6 D ['usuario15', 'usuario5', 'usuario7', 'usuario8'] D 4 -27.0001888275 20974 user
3 usuario5 D ['usuario11', 'usuario14', 'usuario13', 'usuario6'] D 4 -13420.4001427 7040 user
3 usuario14 D ['usuario2', 'usuario8', 'usuario16', 'usuario5'] D 14 -19162.4000072 2467 user
3 usuario8 D ['usuario10', 'usuario6', 'usuario9', 'usuario14'] D 9 -13401.7000198 8106 user
4 usuario7 D ['usuario6', 'usuario13', 'usuario4', 'usuario9'] C 14 -15488.0001545 4866 user
4 usuario13 D ['usuario5', 'usuario16', 'usuario12', 'usuario7'] D 9 -15716.3999081 4813 user
4 usuario16 D ['usuario14', 'usuario9', 'usuario1', 'usuario13'] D 19 -17557.8000546 2761 user
4 usuario9 C ['usuario8', 'usuario7', 'usuario3', 'usuario16'] D 5 -17528.1000137 2783 user
4 usuario4 C ['usuario7', 'usuario12', 'usuario15', 'usuario3'] D 0 -19652.4000168 829 user
4 usuario12 D ['usuario13', 'usuario1', 'usuario11', 'usuario4'] C 14 -12400.9001255 6958 user
4 usuario1 C ['usuario16', 'usuario3', 'usuario2', 'usuario12'] D 0 -17863.8999462 2911 user
4 usuario3 D ['usuario9', 'usuario4', 'usuario10', 'usuario1'] C 24 -7235.49985886 13049 user
4 usuario15 D ['usuario4', 'usuario11', 'usuario6', 'usuario10'] C 14 -15582.9999447 4764 user
4 usuario11 D ['usuario12', 'usuario2', 'usuario5', 'usuario15'] D 9 -2111.5000248 18105 user
4 usuario2 D ['usuario1', 'usuario10', 'usuario14', 'usuario11'] D 19 -11352.5998592 8068 user
4 usuario10 C ['usuario3', 'usuario15', 'usuario8', 'usuario2'] D 5 -15480.9000492 3678 user
4 usuario6 D ['usuario15', 'usuario5', 'usuario7', 'usuario8'] C 14 -34.5001220703 19015 user
4 usuario5 C ['usuario11', 'usuario14', 'usuario13', 'usuario6'] D 5 -15452.8000355 5252 user
4 usuario14 C ['usuario2', 'usuario8', 'usuario16', 'usuario5'] C 10 -16983.7999344 2463 user
4 usuario8 C ['usuario10', 'usuario6', 'usuario9', 'usuario14'] C 15 -14484.2000008 4743 user
5 usuario7 C ['usuario6', 'usuario13', 'usuario4', 'usuario9'] C 5 -18545.0999737 2077 user
5 usuario13 D ['usuario5', 'usuario16', 'usuario12', 'usuario7'] C 14 -14443.2001114 6047 user
5 usuario16 D ['usuario14', 'usuario9', 'usuario1', 'usuario13'] D 19 -12391.299963 8691 user
5 usuario9 C ['usuario8', 'usuario7', 'usuario3', 'usuario16'] D 5 -16484.3001366 4362 user
5 usuario4 D ['usuario7', 'usuario12', 'usuario15', 'usuario3'] D 9 -17542.9999828 2849 user
5 usuario12 D ['usuario13', 'usuario1', 'usuario11', 'usuario4'] D 9 -13460.5998993 7897 user
5 usuario1 C ['usuario16', 'usuario3', 'usuario2', 'usuario12'] D 5 -16818.2001114 4071 user
5 usuario3 D ['usuario9', 'usuario4', 'usuario10', 'usuario1'] C 19 -27.6000499725 21510 user
5 usuario15 D ['usuario4', 'usuario11', 'usuario6', 'usuario10'] C 9 -16514.6999359 4339 user
5 usuario11 D ['usuario12', 'usuario2', 'usuario5', 'usuario15'] D 14 -7255.80000877 13282 user
5 usuario2 C ['usuario1', 'usuario10', 'usuario14', 'usuario11'] D 15 -1072.59988785 20438 user
5 usuario10 C ['usuario3', 'usuario15', 'usuario8', 'usuario2'] C 5 -18560.8999729 2264 user
5 usuario6 D ['usuario15', 'usuario5', 'usuario7', 'usuario8'] D 14 -17586.5001678 4192 user
5 usuario5 C ['usuario11', 'usuario14', 'usuario13', 'usuario6'] D 5 -17529.2000771 3414 user
5 usuario14 C ['usuario2', 'usuario8', 'usuario16', 'usuario5'] C 10 -18332.1998119 2849 user
5 usuario8 D ['usuario10', 'usuario6', 'usuario9', 'usuario14'] C 19 -14432.6000214 7538 user
6 usuario7 C ['usuario6', 'usuario13', 'usuario4', 'usuario9'] C 10 -10330.8000565 6088 user
6 usuario13 D ['usuario5', 'usuario16', 'usuario12', 'usuario7'] C 19 -10319.5998669 6904 user
6 usuario16 D ['usuario14', 'usuario9', 'usuario1', 'usuario13'] D 19 -12477.9000282 4679 user
