round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario10 C ['usuario11', 'usuario8', 'usuario2', 'usuario5'] D 5 -8439.89992142 6909 user
1 usuario8 D ['usuario6', 'usuario16', 'usuario13', 'usuario10'] C 24 -30.5998325348 15659 user
1 usuario16 C ['usuario14', 'usuario5', 'usuario9', 'usuario8'] D 5 -11381.9000721 5203 user
1 usuario5 D ['usuario1', 'usuario10', 'usuario15', 'usuario16'] C 19 -3189.30006027 13423 user
1 usuario2 C ['usuario10', 'usuario13', 'usuario12', 'usuario15'] D 15 -2091.30001068 14658 user
1 usuario13 C ['usuario8', 'usuario9', 'usuario3', 'usuario2'] C 10 -2094.00010109 13329 user
1 usuario9 D ['usuario16', 'usuario15', 'usuario7', 'usuario13'] C 19 -9319.29993629 5945 user
1 usuario15 D ['usuario5', 'usuario2', 'usuario4', 'usuario9'] D 9 -12381.7999363 3477 user
1 usuario12 C ['usuario2', 'usuario3', 'usuario11', 'usuario4'] D 10 -8255.29980659 8314 user
1 usuario3 C ['usuario13', 'usuario7', 'usuario6', 'usuario12'] C 20 -8301.5999794 7565 user
1 usuario7 C ['usuario9', 'usuario4', 'usuario14', 'usuario3'] C 10 -10341.5000439 6154 user
1 usuario4 D ['usuario15', 'usuario12', 'usuario1', 'usuario7'] C 19 -7231.89997673 8683 user
1 usuario11 D ['usuario12', 'usuario6', 'usuario10', 'usuario1'] C 24 -8274.99985695 8140 user
1 usuario6 C ['usuario3', 'usuario14', 'usuario8', 'usuario11'] D 10 -10329.2000294 5206 user
1 usuario14 C ['usuario7', 'usuario1', 'usuario16', 'usuario6'] C 20 -26.2999534607 15140 user
1 usuario1 C ['usuario4', 'usuario11', 'usuario5', 'usuario14'] C 5 -9310.80007553 6525 user
2 usuario10 C ['usuario11', 'usuario8', 'usuario2', 'usuario5'] C 15 -14800.5001545 5014 user
2 usuario8 C ['usuario6', 'usuario16', 'usuario13', 'usuario10'] C 15 -9383.50009918 10130 user
2 usuario16 C ['usuario14', 'usuario5', 'usuario9', 'usuario8'] C 15 -32.5000286102 19883 user
2 usuario5 C ['usuario1', 'usuario10', 'usuario15', 'usuario16'] C 15 -6331.69984818 13135 user
2 usuario2 C ['usuario10', 'usuario13', 'usuario12', 'usuario15'] C 10 -6263.20004463 13023 user
2 usuario13 D ['usuario8', 'usuario9', 'usuario3', 'usuario2'] C 14 -13438.3997917 6162 user
2 usuario9 D ['usuario16', 'usuario15', 'usuario7', 'usuario13'] D 19 -6227.09989548 14583 user
2 usuario15 C ['usuario5', 'usuario2', 'usuario4', 'usuario9'] D 10 -12479.7999859 7056 user
2 usuario12 D ['usuario2', 'usuario3', 'usuario11', 'usuario4'] D 9 -12469.4001675 7310 user
2 usuario3 D ['usuario13', 'usuario7', 'usuario6', 'usuario12'] D 14 -14487.4000549 5525 user
2 usuario7 C ['usuario9', 'usuario4', 'usuario14', 'usuario3'] D 5 -13459.3000412 6620 user
2 usuario4 D ['usuario15', 'usuario12', 'usuario1', 'usuario7'] C 14 -12424.4000912 8094 user
2 usuario11 D ['usuario12', 'usuario6', 'usuario10', 'usuario1'] D 14 -15521.999836 4151 user
2 usuario6 C ['usuario3', 'usuario14', 'usuario8', 'usuario11'] D 10 -15482.1999073 4668 user
2 usuario14 C ['usuario7', 'usuario1', 'usuario16', 'usuario6'] C 15 -9358.29997063 11020 user
2 usuario1 D ['usuario4', 'usuario11', 'usuario5', 'usuario14'] C 14 -11419.200182 8843 user
3 usuario10 D ['usuario11', 'usuario8', 'usuario2', 'usuario5'] C 9 -20112.2999191 4142 user
3 usuario8 D ['usuario6', 'usuario16', 'usuario13', 'usuario10'] D 14 -3143.40019226 21359 user
3 usuario16 C ['usuario14', 'usuario5', 'usuario9', 'usuario8'] D 10 -13413.8000011 10617 user
3 usuario5 C ['usuario1', 'usuario10', 'usuario15', 'usuario16'] C 10 -15843.5001373 8656 user
3 usuario2 D ['usuario10', 'usuario13', 'usuario12', 'usuario15'] C 9 -11356.9998741 13149 user
3 usuario13 D ['usuario8', 'usuario9', 'usuario3', 'usuario2'] D 9 -10352.2000313 14536 user
3 usuario9 D ['usuario16', 'usuario15', 'usuario7', 'usuario13'] D 19 -30.2000045776 23823 user
3 usuario15 C ['usuario5', 'usuario2', 'usuario4', 'usuario9'] D 5 -21748.1000423 2772 user
3 usuario12 D ['usuario2', 'usuario3', 'usuario11', 'usuario4'] D 9 -18617.5999641 5577 user
3 usuario3 C ['usuario13', 'usuario7', 'usuario6', 'usuario12'] D 10 -13419.3999767 10238 user
3 usuario7 C ['usuario9', 'usuario4', 'usuario14', 'usuario3'] C 10 -19589.799881 4232 user
3 usuario4 D ['usuario15', 'usuario12', 'usuario1', 'usuario7'] C 14 -19600.2001762 4370 user
3 usuario11 D ['usuario12', 'usuario6', 'usuario10', 'usuario1'] D 9 -20614.3000126 2779 user
3 usuario6 C ['usuario3', 'usuario14', 'usuario8', 'usuario11'] D 10 -21637.0000839 2690 user
3 usuario14 C ['usuario7', 'usuario1', 'usuario16', 'usuario6'] C 15 -17670.5999374 6571 user
3 usuario1 D ['usuario4', 'usuario11', 'usuario5', 'usuario14'] C 14 -20629.8999786 2972 user
4 usuario10 D ['usuario11', 'usuario8', 'usuario2', 'usuario5'] D 9 -6355.70001602 17936 user
4 usuario8 C ['usuario6', 'usuario16', 'usuario13', 'usuario10'] D 15 -14440.9999847 9163 user
4 usuario16 C ['usuario14', 'usuario5', 'usuario9', 'usuario8'] C 10 -17544.6999073 6531 user
4 usuario5 D ['usuario1', 'usuario10', 'usuario15', 'usuario16'] C 14 -6325.29997826 17280 user
4 usuario2 D ['usuario10', 'usuario13', 'usuario12', 'usuario15'] D 9 -16495.6998825 6958 user
4 usuario13 C ['usuario8', 'usuario9', 'usuario3', 'usuario2'] D 10 -4168.90001297 19182 user
4 usuario9 D ['usuario16', 'usuario15', 'usuario7', 'usuario13'] C 14 -14458.4000111 9221 user
4 usuario15 D ['usuario5', 'usuario2', 'usuario4', 'usuario9'] D 4 -21745.2998161 2523 user
4 usuario12 D ['usuario2', 'usuario3', 'usuario11', 'usuario4'] D 9 -40.7001972198 23992 user
4 usuario3 C ['usuario13', 'usuario7', 'usuario6', 'usuario12'] D 10 -18552.2999763 5243 user
4 usuario7 D ['usuario9', 'usuario4', 'usuario14', 'usuario3'] C 14 -20627.600193 3140 user
4 usuario4 D ['usuario15', 'usuario12', 'usuario1', 'usuario7'] D 9 -21670.5000401 2213 user
4 usuario11 D ['usuario12', 'usuario6', 'usuario10', 'usuario1'] C 14 -21645.6000805 2400 user
4 usuario6 C ['usuario3', 'usuario14', 'usuario8', 'usuario11'] D 15 -21633.8999271 2535 user
4 usuario14 C ['usuario7', 'usuario1', 'usuario16', 'usuario6'] C 15 -10355.4999828 13668 user
4 usuario1 C ['usuario4', 'usuario11', 'usuario5', 'usuario14'] C 5 -21746.1998463 2690 user
5 usuario10 C ['usuario11', 'usuario8', 'usuario2', 'usuario5'] D 5 -10626.8000603 9877 user
5 usuario8 C ['usuario6', 'usuario16', 'usuario13', 'usuario10'] C 20 -11370.3000546 9986 user
5 usuario16 C ['usuario14', 'usuario5', 'usuario9', 'usuario8'] C 10 -15497.4999428 5611 user
5 usuario5 D ['usuario1', 'usuario10', 'usuario15', 'usuario16'] C 14 -6355.39984703 14045 user
5 usuario2 D ['usuario10', 'usuario13', 'usuario12', 'usuario15'] D 14 -12400.9001255 8921 user
5 usuario13 C ['usuario8', 'usuario9', 'usuario3', 'usuario2'] D 10 -41.5000915527 21475 user
5 usuario9 D ['usuario16', 'usuario15', 'usuario7', 'usuario13'] C 19 -9294.79980469 11584 user
5 usuario15 D ['usuario5', 'usuario2', 'usuario4', 'usuario9'] D 4 -16584.100008 4568 user
5 usuario12 D ['usuario2', 'usuario3', 'usuario11', 'usuario4'] D 9 -14546.7998981 5924 user
5 usuario3 C ['usuario13', 'usuario7', 'usuario6', 'usuario12'] D 15 -17542.9999828 3514 user
5 usuario7 C ['usuario9', 'usuario4', 'usuario14', 'usuario3'] C 10 -14463.0000591 6057 user
5 usuario4 D ['usuario15', 'usuario12', 'usuario1', 'usuario7'] C 9 -12399.9998569 8137 user
5 usuario11 D ['usuario12', 'usuario6', 'usuario10', 'usuario1'] D 14 -18601.9999981 3230 user
5 usuario6 C ['usuario3', 'usuario14', 'usuario8', 'usuario11'] D 15 -18569.7000027 1931 user
5 usuario14 C ['usuario7', 'usuario1', 'usuario16', 'usuario6'] C 15 -12440.9999847 8543 user
