round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario13 C ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 15 -8271.99983597 3385 user
1 usuario10 C ['usuario14', 'usuario2', 'usuario15', 'usuario13'] C 15 -7252.09999084 4791 user
1 usuario2 C ['usuario3', 'usuario7', 'usuario1', 'usuario10'] C 10 -31.8999290466 11681 user
1 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] C 19 -4260.49995422 8471 user
1 usuario9 C ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 15 -3120.69988251 9230 user
1 usuario15 D ['usuario10', 'usuario1', 'usuario8', 'usuario9'] C 19 -2108.29997063 9694 user
1 usuario1 C ['usuario2', 'usuario11', 'usuario12', 'usuario15'] D 10 -7247.60007858 4399 user
1 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] C 15 -6208.80007744 5706 user
1 usuario6 C ['usuario9', 'usuario8', 'usuario16', 'usuario5'] C 15 -6215.19994736 5533 user
1 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] C 14 -5166.89991951 6606 user
1 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 14 -2154.60014343 9703 user
1 usuario5 C ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 10 -4184.20004845 7356 user
1 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 15 -4163.30003738 7600 user
1 usuario14 C ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 10 -5186.59996986 6376 user
1 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] C 14 -5217.10014343 6387 user
1 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 14 -6334.3000412 5722 user
2 usuario13 C ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 10 -14487.2000217 7820 user
2 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] C 19 -11341.7999744 10938 user
2 usuario2 C ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 5 -15510.6999874 7036 user
2 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] C 24 -8446.69985771 13917 user
2 usuario9 C ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 15 -11386.6000175 10899 user
2 usuario15 D ['usuario10', 'usuario1', 'usuario8', 'usuario9'] C 14 -9331.3999176 14278 user
2 usuario1 C ['usuario2', 'usuario11', 'usuario12', 'usuario15'] D 10 -17516.2000656 5259 user
2 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] C 10 -20655.1001072 2773 user
2 usuario6 C ['usuario9', 'usuario8', 'usuario16', 'usuario5'] D 10 -16504.6999454 6088 user
2 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] C 14 -16511.3999844 7129 user
2 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 9 -52.60014534 22383 user
2 usuario5 D ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 19 -16555.7000637 7113 user
2 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] C 20 -17576.2999058 5714 user
2 usuario14 C ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 5 -14445.8999634 8527 user
2 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] C 19 -19616.300106 3975 user
2 usuario4 C ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 5 -12644.7000504 9518 user
3 usuario13 D ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 9 -17526.4000893 4490 user
3 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] D 14 -18601.4997959 4056 user
3 usuario2 C ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 5 -12390.0001049 9397 user
3 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] C 14 -15865.7000065 6525 user
3 usuario9 D ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 14 -5194.79990005 17134 user
3 usuario15 C ['usuario10', 'usuario1', 'usuario8', 'usuario9'] D 5 -15470.9999561 5952 user
3 usuario1 C ['usuario2', 'usuario11', 'usuario12', 'usuario15'] C 15 -16594.1998959 6002 user
3 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] C 5 -18575.5999088 3376 user
3 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] D 9 -16512.0999813 5569 user
3 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 9 -17527.4999142 3516 user
3 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 9 -40.2998924255 22419 user
3 usuario5 D ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 9 -9391.299963 11827 user
3 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 0 -17562.6001358 3870 user
3 usuario14 D ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 9 -14439.5999908 7730 user
3 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] D 9 -17543.9999104 4674 user
3 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 9 -18944.8001385 3498 user
4 usuario13 D ['usuario16', 'usuario10', 'usuario9', 'usuario7'] C 19 -21709.400177 3046 user
4 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] D 14 -17528.7001133 6473 user
4 usuario2 D ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 14 -21730.7999134 2959 user
4 usuario7 C ['usuario4', 'usuario13', 'usuario11', 'usuario2'] D 5 -17928.3001423 5422 user
4 usuario9 C ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 15 -10336.0998631 13402 user
4 usuario15 C ['usuario10', 'usuario1', 'usuario8', 'usuario9'] C 10 -9304.30006981 14737 user
4 usuario1 C ['usuario2', 'usuario11', 'usuario12', 'usuario15'] C 15 -18577.9001713 4463 user
4 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] C 20 -18560.2998734 5172 user
4 usuario6 C ['usuario9', 'usuario8', 'usuario16', 'usuario5'] C 15 -21955.9998512 2711 user
4 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] C 24 -18564.7997856 6156 user
4 usuario12 C ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 10 -13747.0002174 9501 user
4 usuario5 C ['usuario11', 'usuario6', 'usuario4', 'usuario12'] C 15 -17600.6000042 5873 user
4 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 10 -17536.4999771 6423 user
4 usuario14 C ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 5 -26.0000228882 23546 user
4 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] C 14 -21729.7999859 2429 user
4 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 19 -14833.8999748 9069 user
