,subj_id,a,v,t,a_st10,v_st10,t_st10,z_st10,a10,v10,t10,z10,a_st20,v_st20,t_st20,z_st20,a20,v20,t20,z20,a_st30,v_st30,t_st30,z_st30,a30,v30,t30,z30,a_st40,v_st40,t_st40,z_st40,a40,v40,t40,z40,a_st50,v_st50,t_st50,z_st50,a50,v50,t50,z50
128,usuario16s2t1200,0,0,0,0.6074393937469355,0.14058378370416633,0.2571565572302585,0.08808256324555178,4.850903402097777,-0.0303525324992419,0.508635089207102,0.4967909429317798,0.6048123288853202,0.1483589026510496,0.25632445536809073,0.08744226105242488,4.805860311120813,-0.1432552017137978,0.5071889815155621,0.5304101582448008,0.6296551197764519,0.1366037883350382,0.24726954404994148,0.08571599189697952,5.022683924189207,-0.06559310293288831,0.49664390764295435,0.5403196845953835,0.6951307974091405,0.16300045266735455,0.26465668996839825,0.08583137456782557,5.013106549097111,-0.3926339022538167,0.5248541513712063,0.5679845504237738,0.7621314990173861,0.11988092761599987,0.22460399343046372,0.08062203908223489,5.88045708340017,-0.2652960076334188,0.45295417043591935,0.4302009641283331
106,usuario31s2t1200,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,usuario5s2t1200,0,0,0,0.5846577003663165,0.14463538406492205,0.26097378583705255,0.08554827421235778,4.663419506191849,-0.013654428362790186,0.5141245114091874,0.47234091024281194,0.5924856598887381,0.15457751028518585,0.26376396882334013,0.08818684668790852,4.58389944542166,0.06446207533400418,0.5194855941155131,0.47803465227537173,0.5556057440468107,0.17738750707571857,0.28483295117669505,0.0883850922539549,4.19183290890939,0.0706623398542323,0.5539591562099702,0.48390594775331847,0.6197477951513481,0.16244314705369226,0.23712679480426802,0.0858968145912595,4.718979767905155,-0.3349086971185427,0.48868815631688145,0.5217700270213732,0.5972741451059871,0.15624944575507785,0.2619640723891064,0.0863971359781255,4.765498789395802,-0.2509230689515714,0.508410238354676,0.5420106316517873
96,usuario2s2t1200,0,0,0,0.6042519128344007,0.12652221247055087,0.23537100429355579,0.08364212861241282,5.160310330311623,-0.11685139351503039,0.4811934460621241,0.5193905046903778,0.5482963681162414,0.30729492129339153,0.3836991445206414,0.08927249386304399,2.9606993027198074,-0.5194438327880776,0.8619461055309667,0.5551399812357006,0.5395822986539758,0.3012483146390842,0.46712015164676535,0.08784613070717362,2.8410151998069493,-0.3209707157019026,0.9733299591309412,0.5420613634335205,1.0222289621724796,0.46349695733535184,0.4460583218800154,0.10748441680191409,3.6186432497728878,-1.4619821292000994,1.0521305953893094,0.5794071660674005,0.9868663104822198,0.49497442909395073,0.391090475624272,0.10439025719733012,3.3148315923385563,-1.5803471179277537,1.0740112164951408,0.5664692589069673
97,usuario13s2t1200,0,0,0,0.6408663386419425,0.1304823862548005,0.2372649981071767,0.08563930413713426,5.2115771602650165,0.0665080736580563,0.4878575726136276,0.46060295667048307,0.6644025628745593,0.1164211657598615,0.2334157855255041,0.0867632400156191,5.60993804368594,-0.03846520823537162,0.47012567851137227,0.5190495238835324,0.5669052658095549,0.1589579181401077,0.27069491030192744,0.08730548788573757,4.4666863945382485,0.060110770391187326,0.5284118122906493,0.48404886804794234,0.6343447450556574,0.1268473745151919,0.2492107675835486,0.08766792424601719,5.300672324596834,-0.0341732021438382,0.4881033238455194,0.500582436405305,0.6228333607397767,0.13465162423286503,0.24744376443977806,0.08833746942424321,5.060614730069537,-0.10053335108182909,0.48762322589711216,0.4942109004247446
101,usuario8s2t1200,0,0,0,0.5676369555479911,0.15884572143758735,0.25900625324628956,0.08701858664094843,4.552315626409973,-0.23059072211388468,0.516859546719435,0.5150087098899596,0.7138966299661351,0.17934121540442124,0.2654273762028145,0.08635509225351394,4.939189179335502,-0.4230214033004959,0.5274489656792657,0.5839611082098398,0.5264213292145656,0.1888213366199709,0.28369972577739244,0.08883332366121345,3.8961908897164856,-0.17290395897316174,0.5794200923125604,0.5136269690257311,0.7176104419101348,0.21417708409272013,0.20348005827783924,0.08958943436984218,4.436619739621254,-0.620612175433275,0.4607375679610872,0.5429906165579815,0.9726722424545801,0.3238647747282143,0.3498351316787059,0.08828451880258587,4.753516006387692,-1.0253736714920232,0.6922710852044842,0.6182716326931801
102,usuario19s2t1200,0,0,0,0.6678409039747331,0.09650374570445219,0.22089276541752903,0.08331435938009873,6.362493014586873,-0.015363185531345757,0.4459468265613535,0.48178672234512704,0.48982838823748065,0.16719906984776578,0.19728022030585185,0.08494323424731276,4.1072559132700315,0.01600553028680507,0.4463706247904577,0.5361034024700378,0.6235599865595594,0.11787995433600512,0.21459867890354514,0.08058061999954151,5.395828084778649,-0.015249833963249776,0.440834208610603,0.583103941021614,0.6294071271621466,0.11665648861958719,0.22544729187141047,0.08616846575145957,5.52075518189646,0.09402780925495828,0.4677228439857308,0.5066580311563634,0.5881157030701043,0.14468975321285926,0.25603902870350503,0.08672610946681647,4.724478748377297,0.038588672890807744,0.5109847386934062,0.5049143513050329
103,usuario15s2t1200,0,0,0,0.5955601366287416,0.13967150353062732,0.24904696224167672,0.08799994756910708,4.870818512395106,0.0412448767259482,0.4937901127346507,0.5014999927354484,0.547883534332753,0.19992347655805773,0.2775705593132251,0.08952935764622125,3.900118374683907,-0.3786364027468967,0.5779320271071515,0.4585878052867171,0.5198113882437532,0.28298422493620196,0.31095574667522724,0.0858086851242227,3.1412373163498515,-0.5364681677451761,0.7485357233289546,0.5837637361871522,0.6557915144108537,0.21975688267849142,0.23104591223739887,0.08915566921483302,4.149427040331995,-0.629271650246012,0.5035726751914589,0.5137830930995337,0.7014671896397456,0.29128786052090877,0.2682284067114516,0.09531898832724035,3.7223918486153464,-0.8704462037509613,0.6107057714437009,0.5368321177021241
126,usuario32s2t1200,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,usuario6s2t1200,0,0,0,0.7546379008855904,0.10708682185319456,0.2289061763927234,0.0848187241260097,6.261836058897776,-0.1606152850641438,0.46404477796470245,0.5370877920652313,0.8254580592450592,0.12966439952288153,0.22672634537547867,0.08711139604022902,6.148217469405776,-0.28705335512563657,0.4643870956784443,0.5746482724586357,0.9365621149475188,0.15079469097144038,0.2450043446492498,0.08461797513050498,6.204374192810237,-0.45584035008929497,0.48898648623568686,0.5987620729312124,1.0404146120635456,0.19087775068511934,0.26657911759579206,0.08519111734042673,6.0019312596868994,-0.577436308639225,0.5256039595121371,0.6209411533656385,1.082317904374503,0.19044122644446623,0.25893435471979537,0.08517578866333589,6.1622603440067945,-0.5674817233140204,0.5128515159300011,0.6248133986299013
