,subj_id,a,v,t,a_st10,v_st10,t_st10,z_st10,a10,v10,t10,z10,a_st20,v_st20,t_st20,z_st20,a20,v20,t20,z20,a_st30,v_st30,t_st30,z_st30,a30,v30,t30,z30,a_st40,v_st40,t_st40,z_st40,a40,v40,t40,z40,a_st50,v_st50,t_st50,z_st50,a50,v50,t50,z50
13,usuario10s3t1330,0,0,0,0.5146684384066494,0.20289475732568035,0.31362629736670933,0.08948259385708242,3.732205078260931,-0.18197792793613124,0.61500479711027,0.5099058741886838,0.6046781682049074,0.21123855292075136,0.28832584128901206,0.08928684455079608,4.052310054503544,-0.4775523518101476,0.5905476877408052,0.5375045361267319,0.5752228080015434,0.13609948693868099,0.2331675545544781,0.08411813580687459,4.926447734881701,-0.16477560328370625,0.4734041551289622,0.47364455666705507,0.3735663007106307,0.20360181560808505,0.12104877434261391,0.07873164568347671,3.2941861446971035,0.07089687852132488,0.3331418509748802,0.6001852042063545,0.7372280950386165,0.23255953666000928,0.2654437955441356,0.08862126666524421,4.306352796245187,-0.686997209627966,0.5586164875625179,0.5409252304272691
14,usuario22s3t1330,0,0,0,0.5323811376114025,0.21391740988066668,0.19904570944822925,0.08845489051007717,3.6774634665088493,-0.41413029231896437,0.47965415009193424,0.4788623553407288,0.554399319677656,0.18418135579346834,0.20302034844074515,0.08603228680986925,4.070609859475433,-0.34208661305907456,0.4582655700475418,0.4692320958883289,0.6187469091600581,0.23504125728911685,0.1838598841975249,0.08945781829636903,3.734190050157337,-0.5993369190741453,0.45901290125895133,0.4469789138304437,0.8902912398977926,0.594166453905546,0.17915808633772304,0.09808809289637745,3.2809920425594963,-1.9553038419407487,0.6492889803966334,0.5881191193589356,0.6712436526809807,0.6716183155668756,0.15285860640339763,0.11186619621173925,2.190166978788164,-1.9764773764728167,0.7743350307165217,0.4914367026114638
20,usuario16s3t1330,0,0,0,0.49592974740087264,0.27677978087648697,0.38033227701456396,0.09130083837602299,3.0418995627573815,0.3389983097270539,0.8235992809126447,0.44028153901392786,0.5005961749851817,0.25735007059937426,0.3853360407873027,0.08889158437241015,3.1062045920129395,-0.2638224474555853,0.7883983317441555,0.5304821672653648,0.49836448702081665,0.21987776868385422,0.32601553333347766,0.08697549255985425,3.4683065337093786,-0.213323533124244,0.6565196562822595,0.5204029042777736,0.500144063431229,0.2625279480848555,0.3861120116327615,0.08639784552651968,3.0743884049798447,0.33001785921418075,0.8129200683909007,0.44398503489217317,0.41232650800131126,0.34745803965511846,0.2665549273712311,0.08635920719628394,2.270363665793335,0.165349054718351,0.8611568132530061,0.47949604704837046
19,usuario20s3t1330,0,0,0,0.4981038527382489,0.13287728389646816,0.15753475330457992,0.07791895925891766,4.774562053415389,-0.1881656220239111,0.3562940725556237,0.5327152042511815,0.3959345853289078,0.20883519419085633,0.11877288356871615,0.07683595761316929,3.242934276657255,-0.06786839200029487,0.34392182804720633,0.6212989593127455,0.4873776901474559,0.14131610206976924,0.19922272100555244,0.08077143446069528,4.544011138958899,0.07067975889894033,0.4306431040690575,0.4589552475660566,0.4615290255437006,0.23139798883037896,0.22709268538881816,0.08648383962633605,3.295580698244946,0.11523721558316277,0.5814997075883395,0.3659323183589677,0.2897004434753747,0.3641400767007597,0.09933870031530902,0.08139002964311162,1.9520151523182612,-0.07289875954844517,0.3811251666096971,0.49627475266264137
0,usuario2s3t1330,0,0,0,0.6777067374339278,0.1235248100490587,0.24007883821501863,0.08756775817059,5.466572500531663,0.13887151645628776,0.480026479107775,0.44579871871205967,0.5150774491927869,0.1734280606761211,0.24599398601052752,0.08555858656318763,4.07196389817306,0.13573021589174367,0.5194521555714473,0.5188835825538463,0.5288745195261043,0.25005528268959654,0.46799470094841206,0.08949545021271771,3.1199435914184375,-0.07241757416220307,0.8335748586893053,0.50616045731581,0.5929749791408652,0.12990276296967715,0.23002130440045362,0.08406027007377986,5.131085042341229,-0.0013575767444297053,0.47446737020514795,0.4515262773408619,0.5168070672456087,0.1803512694032987,0.27609421588733846,0.0869346890112695,4.040446297647565,-0.08170480379261441,0.5623622283168596,0.5397377806708463
17,usuario5s3t1330,0,0,0,0.5824343197755097,0.14751519409399294,0.2556779082370586,0.08820495981610896,4.785962914311656,-0.03687145766798341,0.5012496285639035,0.4983971831415921,0.5533356022604577,0.19428326105055954,0.3147850676946248,0.08772257453032728,3.9719957695316945,-0.19769006488696378,0.6039431547976785,0.5362054024309443,0.4937983022606361,0.2027089532689132,0.3104576854219322,0.08781487123193078,3.661412126313986,-0.06752077101229605,0.6109544562912801,0.5121870214273208,0.5580739028139047,0.15103184122872582,0.24780834631406268,0.08694043865262434,4.608668819955875,0.0686222262103514,0.5056069162417771,0.47508462393232587,0.49964549709649353,0.21048273450649896,0.32498517435504487,0.0883271507828671,3.5871023999601954,-0.06463443160721585,0.6355665050437852,0.5131999134179323
16,usuario9s3t1330,0,0,0,0.930529146382054,0.3186566592373285,0.375564197458069,0.08914985751016853,4.602485846721344,1.0384787635082102,0.7275857486085273,0.38951364255761595,0.5181602267042793,0.1838327995870181,0.2975371810497976,0.08797635106110598,3.945766051214694,0.043270853285516664,0.5822912573721771,0.5148230333816415,0.5741991412337907,0.24340602162194028,0.4077837607718035,0.08761026081741921,3.626544771024241,0.42325080470649173,0.721717192190317,0.446140348635679,0.705456895055935,0.3215864192919195,0.48338246270367685,0.08826092296315892,3.6015277258055174,0.7977472281871246,0.8902672645157239,0.4106848281923619,0.5318216013778709,0.17521272519084957,0.28419267908554785,0.08687974388757032,4.0791986202014705,0.03153787872429124,0.5546386177994728,0.5214938586101393
21,usuario7s3t1330,0,0,0,0.5610363954010252,0.14744338318148198,0.25617811728326045,0.08498003012671007,4.6575083476363,0.060685034164931616,0.5103360619705675,0.48101050293263853,0.5935544899545775,0.14551348551966337,0.25732022368386037,0.08770521371794078,4.749832724256101,0.035913517785879055,0.5084213069688189,0.5134712478362127,0.5084584238888878,0.22970962172565548,0.41157322526660794,0.09146704396605233,3.418920630219789,-0.04640224494281753,0.72133281073414,0.4918275633379713,0.4536779074565724,0.23769241754412146,0.3100954668156975,0.08310782617267452,3.1298173058426397,-0.1029127648763794,0.6703675770015152,0.5361623370832832,0.5119247579661562,0.287599673946459,0.4393090014855781,0.08826829532858686,2.8163600484955427,0.12823547512727226,0.9208407713891446,0.4820836570666085
18,usuario14s3t1330,0,0,0,0.6924802724576467,0.1700920922600984,0.16964820035268124,0.08450707983088793,4.817532050421797,0.469397313175079,0.3908414566128076,0.4847634973632294,0.6363985078129173,0.11286608325672104,0.23776523735086938,0.08477574920194551,5.680279989348254,-0.03904142393209066,0.4756309980121602,0.5153734301977789,0.5779434316359789,0.1623135317819504,0.2028063404788713,0.08134004794269024,4.511309076484264,-0.34029316650444874,0.44127055959591566,0.5284584010694447,0.6347352169823124,0.4024630744576724,0.17847689337936004,0.10201840327248765,2.820398145392951,1.199557212253086,0.5465215405958094,0.5201922914785438,0.8756271471988293,0.7845298363104892,0.20811850661851314,0.12421215080182071,2.22563601052408,2.482915577246135,1.2952155371302543,0.5082447138886796
12,usuario1s3t1330,0,0,0,0.6464850427551285,0.13608190070960258,0.2445747746532246,0.08732757723851384,5.232624745005419,-0.19869671679381817,0.4812930875737366,0.5257449215108282,0.5745574857929994,0.1487531179710143,0.2510684679026483,0.08452629816953114,4.755734447696841,-0.24320168041577964,0.5080381915231057,0.5439290063865995,0.7307626013851725,0.1747626801473466,0.24056710485530808,0.0882236182163158,5.091428503368401,-0.4941285518955097,0.4927255830791692,0.5456423350260986,0.6978494429475344,0.16097077603485577,0.24051501345406134,0.08608771574653006,5.001016311271813,-0.41281521898013374,0.4848495196117118,0.48627474828915535,0.5985441586441457,0.1804076399448452,0.24178712021197654,0.08300582401770161,4.424267738228258,-0.4217870767734546,0.5042659575539897,0.5644556761796111
