round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario11 C ['usuario15', 'usuario13', 'usuario14', 'usuario10'] C 15 -13349.4000435 4718 user
1 usuario13 C ['usuario3', 'usuario5', 'usuario7', 'usuario11'] C 15 -7204.79989052 10888 user
1 usuario5 C ['usuario4', 'usuario10', 'usuario12', 'usuario13'] C 20 -12305.5999279 5287 user
1 usuario10 C ['usuario1', 'usuario11', 'usuario16', 'usuario5'] C 20 -8212.20016479 9895 user
1 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] C 24 -20.4999446869 17647 user
1 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 10 -7201.79986954 10937 user
1 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 15 -12308.7999821 5031 user
1 usuario16 C ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 10 -5169.70014572 12630 user
1 usuario6 C ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 5 -8201.59983635 10206 user
1 usuario8 D ['usuario7', 'usuario9', 'usuario3', 'usuario6'] C 14 -1049.09992218 16652 user
1 usuario9 D ['usuario12', 'usuario2', 'usuario4', 'usuario8'] D 14 -11273.0000019 6837 user
1 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] D 19 -8225.79979897 9199 user
1 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] C 15 -11299.6001244 6530 user
1 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 19 -4115.79990387 13724 user
1 usuario4 C ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 10 -11303.2999039 6505 user
1 usuario1 C ['usuario2', 'usuario15', 'usuario10', 'usuario4'] C 15 -7191.99991226 11321 user
2 usuario11 C ['usuario15', 'usuario13', 'usuario14', 'usuario10'] D 15 -11293.0998802 10612 user
2 usuario13 C ['usuario3', 'usuario5', 'usuario7', 'usuario11'] C 15 -15398.8997936 6361 user
2 usuario5 C ['usuario4', 'usuario10', 'usuario12', 'usuario13'] C 10 -15366.1999702 7072 user
2 usuario10 D ['usuario1', 'usuario11', 'usuario16', 'usuario5'] C 19 -14361.0999584 7085 user
2 usuario14 C ['usuario11', 'usuario7', 'usuario6', 'usuario16'] D 10 -4137.69984245 18106 user
2 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] C 15 -4136.39998436 17615 user
2 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 10 -20494.7998524 1944 user
2 usuario16 D ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 19 -13354.0999889 8775 user
2 usuario6 D ['usuario14', 'usuario8', 'usuario15', 'usuario2'] C 19 -22.7999687195 21584 user
2 usuario8 D ['usuario7', 'usuario9', 'usuario3', 'usuario6'] D 9 -17406.9001675 4578 user
2 usuario9 D ['usuario12', 'usuario2', 'usuario4', 'usuario8'] D 14 -14366.8999672 7773 user
2 usuario2 C ['usuario16', 'usuario6', 'usuario1', 'usuario9'] D 5 -15349.6999741 6314 user
2 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] C 10 -18470.4999924 3059 user
2 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 14 -9232.59997368 12809 user
2 usuario4 D ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 14 -16423.2001305 5552 user
2 usuario1 C ['usuario2', 'usuario15', 'usuario10', 'usuario4'] D 10 -18423.9001274 3719 user
3 usuario11 C ['usuario15', 'usuario13', 'usuario14', 'usuario10'] C 10 -14384.0000629 6159 user
3 usuario13 D ['usuario3', 'usuario5', 'usuario7', 'usuario11'] C 19 -15422.3999977 4257 user
3 usuario5 C ['usuario4', 'usuario10', 'usuario12', 'usuario13'] D 15 -7193.39990616 12843 user
3 usuario10 C ['usuario1', 'usuario11', 'usuario16', 'usuario5'] C 15 -12314.3999577 8208 user
3 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] D 19 -20.7002162933 19601 user
3 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 5 -16428.5001755 3047 user
3 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 10 -17508.2998276 2633 user
3 usuario16 D ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 14 -10276.4000893 8857 user
3 usuario6 C ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 5 -3081.79998398 17070 user
3 usuario8 D ['usuario7', 'usuario9', 'usuario3', 'usuario6'] C 14 -8204.60009575 12089 user
3 usuario9 D ['usuario12', 'usuario2', 'usuario4', 'usuario8'] D 14 -14348.9999771 5091 user
3 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] D 14 -15372.0998764 5034 user
3 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] C 15 -15421.599865 4488 user
3 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 14 -7181.90002441 12558 user
3 usuario4 C ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 10 -18485.2998257 1654 user
3 usuario1 C ['usuario2', 'usuario15', 'usuario10', 'usuario4'] C 15 -4148.09989929 15154 user
4 usuario11 C ['usuario15', 'usuario13', 'usuario14', 'usuario10'] C 10 -12317.0998096 5204 user
4 usuario13 D ['usuario3', 'usuario5', 'usuario7', 'usuario11'] C 19 -13336.1001015 4925 user
4 usuario5 C ['usuario4', 'usuario10', 'usuario12', 'usuario13'] D 15 -14365.2000427 3547 user
4 usuario10 C ['usuario1', 'usuario11', 'usuario16', 'usuario5'] C 10 -11282.5000286 6627 user
4 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] D 14 -1061.1000061 17369 user
4 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 5 -1067.19994545 17253 user
4 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 10 -16401.0000229 1733 user
4 usuario16 D ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 14 -6185.69993973 11998 user
4 usuario6 D ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 9 -8219.50006485 9488 user
4 usuario8 D ['usuario7', 'usuario9', 'usuario3', 'usuario6'] D 9 -15375.399828 2811 user
4 usuario9 D ['usuario12', 'usuario2', 'usuario4', 'usuario8'] D 14 -11300.7998466 7127 user
4 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] D 4 -12307.8999519 5846 user
4 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] D 5 -16442.8999424 2396 user
4 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 14 -24.7001647949 18116 user
4 usuario4 C ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 5 -13340.8000469 4101 user
4 usuario1 D ['usuario2', 'usuario15', 'usuario10', 'usuario4'] C 19 -10268.5000896 8275 user
5 usuario11 D ['usuario15', 'usuario13', 'usuario14', 'usuario10'] D 14 -12325.8001804 2960 user
5 usuario13 C ['usuario3', 'usuario5', 'usuario7', 'usuario11'] D 5 -8224.2000103 7257 user
5 usuario5 D ['usuario4', 'usuario10', 'usuario12', 'usuario13'] C 14 -12361.1001968 2665 user
