round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario16 C ['usuario7', 'usuario15', 'usuario14', 'usuario3'] D 10 -11381.9999695 16623 user
1 usuario15 C ['usuario9', 'usuario12', 'usuario13', 'usuario16'] C 20 -16897.5999355 11742 user
1 usuario12 C ['usuario11', 'usuario3', 'usuario6', 'usuario15'] C 10 -16532.2999954 12445 user
1 usuario3 D ['usuario4', 'usuario16', 'usuario1', 'usuario12'] C 24 -23748.9998341 5514 user
1 usuario14 D ['usuario16', 'usuario13', 'usuario10', 'usuario1'] C 19 -20710.5000019 7878 user
1 usuario13 C ['usuario15', 'usuario6', 'usuario2', 'usuario14'] D 5 -20646.999836 7527 user
1 usuario6 D ['usuario12', 'usuario1', 'usuario8', 'usuario13'] C 19 -22705.6000233 6474 user
1 usuario1 C ['usuario3', 'usuario14', 'usuario5', 'usuario6'] D 0 -20616.6000366 7946 user
1 usuario10 D ['usuario14', 'usuario2', 'usuario7', 'usuario5'] D 9 -26.9999504089 29419 user
1 usuario2 D ['usuario13', 'usuario8', 'usuario9', 'usuario10'] D 14 -18599.9000072 9885 user
1 usuario8 D ['usuario6', 'usuario5', 'usuario11', 'usuario2'] D 9 -21675.0998497 6630 user
1 usuario5 D ['usuario1', 'usuario10', 'usuario4', 'usuario8'] D 14 -18681.899786 10908 user
1 usuario7 C ['usuario10', 'usuario9', 'usuario16', 'usuario4'] C 15 -14467.799902 15030 user
1 usuario9 C ['usuario2', 'usuario11', 'usuario15', 'usuario7'] C 15 -25799.3998528 3381 user
1 usuario11 C ['usuario8', 'usuario4', 'usuario12', 'usuario9'] C 15 -20857.1999073 8316 user
1 usuario4 C ['usuario5', 'usuario7', 'usuario3', 'usuario11'] C 10 -24742.5000668 4575 user
2 usuario16 C ['usuario7', 'usuario15', 'usuario14', 'usuario3'] D 15 -22707.100153 16135 user
2 usuario15 C ['usuario9', 'usuario12', 'usuario13', 'usuario16'] C 10 -31.800031662 37955 user
2 usuario12 D ['usuario11', 'usuario3', 'usuario6', 'usuario15'] C 9 -22706.6998482 14886 user
2 usuario3 D ['usuario4', 'usuario16', 'usuario1', 'usuario12'] D 14 -19645.8001137 18315 user
2 usuario14 C ['usuario16', 'usuario13', 'usuario10', 'usuario1'] D 10 -9306.29992485 29157 user
2 usuario13 C ['usuario15', 'usuario6', 'usuario2', 'usuario14'] C 10 -15485.5999947 23098 user
2 usuario6 D ['usuario12', 'usuario1', 'usuario8', 'usuario13'] C 9 -26785.0000858 11625 user
2 usuario1 D ['usuario3', 'usuario14', 'usuario5', 'usuario6'] D 14 -26864.700079 10751 user
2 usuario10 D ['usuario14', 'usuario2', 'usuario7', 'usuario5'] C 19 -23730.2000523 14183 user
2 usuario2 D ['usuario13', 'usuario8', 'usuario9', 'usuario10'] D 9 -18571.7999935 19376 user
2 usuario8 D ['usuario6', 'usuario5', 'usuario11', 'usuario2'] D 9 -29210.9000683 8847 user
2 usuario5 C ['usuario1', 'usuario10', 'usuario4', 'usuario8'] D 5 -16596.6999531 21545 user
2 usuario7 C ['usuario10', 'usuario9', 'usuario16', 'usuario4'] C 10 -8267.40002632 29217 user
2 usuario9 D ['usuario2', 'usuario11', 'usuario15', 'usuario7'] C 14 -21649.8999596 16320 user
2 usuario11 D ['usuario8', 'usuario4', 'usuario12', 'usuario9'] D 9 -27282.1002007 10473 user
2 usuario4 C ['usuario5', 'usuario7', 'usuario3', 'usuario11'] D 10 -30951.0998726 6858 user
3 usuario16 D ['usuario7', 'usuario15', 'usuario14', 'usuario3'] C 19 -16509.0000629 11368 user
3 usuario15 C ['usuario9', 'usuario12', 'usuario13', 'usuario16'] D 5 -12660.4001522 15582 user
3 usuario12 D ['usuario11', 'usuario3', 'usuario6', 'usuario15'] C 24 -16723.400116 11536 user
3 usuario3 C ['usuario4', 'usuario16', 'usuario1', 'usuario12'] D 0 -5191.10012054 22394 user
3 usuario14 C ['usuario16', 'usuario13', 'usuario10', 'usuario1'] D 0 -11365.9000397 15789 user
3 usuario13 D ['usuario15', 'usuario6', 'usuario2', 'usuario14'] C 19 -22785.900116 4668 user
3 usuario6 C ['usuario12', 'usuario1', 'usuario8', 'usuario13'] D 0 -20619.300127 6880 user
3 usuario1 D ['usuario3', 'usuario14', 'usuario5', 'usuario6'] C 24 -18568.2001114 10028 user
3 usuario10 D ['usuario14', 'usuario2', 'usuario7', 'usuario5'] C 14 -7259.90009308 21140 user
3 usuario2 D ['usuario13', 'usuario8', 'usuario9', 'usuario10'] D 9 -16512.5000477 12246 user
3 usuario8 D ['usuario6', 'usuario5', 'usuario11', 'usuario2'] D 19 -19608.9999676 8370 user
3 usuario5 C ['usuario1', 'usuario10', 'usuario4', 'usuario8'] D 0 -12449.4998455 15616 user
3 usuario7 D ['usuario10', 'usuario9', 'usuario16', 'usuario4'] D 9 -31.9998264313 28399 user
3 usuario9 C ['usuario2', 'usuario11', 'usuario15', 'usuario7'] D 10 -5199.99980927 22295 user
3 usuario11 C ['usuario8', 'usuario4', 'usuario12', 'usuario9'] C 5 -18720.7000256 9894 user
3 usuario4 D ['usuario5', 'usuario7', 'usuario3', 'usuario11'] C 19 -21745.8000183 6530 user
4 usuario16 C ['usuario7', 'usuario15', 'usuario14', 'usuario3'] C 10 -18573.5001564 12448 user
4 usuario15 D ['usuario9', 'usuario12', 'usuario13', 'usuario16'] C 14 -3181.40006065 27675 user
4 usuario12 D ['usuario11', 'usuario3', 'usuario6', 'usuario15'] D 14 -7255.30004501 24032 user
4 usuario3 C ['usuario4', 'usuario16', 'usuario1', 'usuario12'] D 10 -7244.19999123 23493 user
4 usuario14 C ['usuario16', 'usuario13', 'usuario10', 'usuario1'] C 15 -40.6000614166 31320 user
4 usuario13 C ['usuario15', 'usuario6', 'usuario2', 'usuario14'] C 10 -24750.6000996 6978 user
4 usuario6 D ['usuario12', 'usuario1', 'usuario8', 'usuario13'] C 14 -19605.4000854 11352 user
4 usuario1 C ['usuario3', 'usuario14', 'usuario5', 'usuario6'] D 10 -14450.4001141 16563 user
4 usuario10 D ['usuario14', 'usuario2', 'usuario7', 'usuario5'] D 14 -1091.60017967 28984 user
4 usuario2 C ['usuario13', 'usuario8', 'usuario9', 'usuario10'] D 5 -2112.10012436 28763 user
4 usuario8 D ['usuario6', 'usuario5', 'usuario11', 'usuario2'] C 14 -15489.1998768 15743 user
4 usuario5 D ['usuario1', 'usuario10', 'usuario4', 'usuario8'] D 9 -18672.5001335 11797 user
4 usuario7 D ['usuario10', 'usuario9', 'usuario16', 'usuario4'] D 9 -4183.09998512 26411 user
4 usuario9 D ['usuario2', 'usuario11', 'usuario15', 'usuario7'] D 14 -22670.5000401 8204 user
4 usuario11 C ['usuario8', 'usuario4', 'usuario12', 'usuario9'] D 0 -17634.0000629 12731 user
4 usuario4 D ['usuario5', 'usuario7', 'usuario3', 'usuario11'] C 14 -19602.2000313 10982 user
5 usuario16 D ['usuario7', 'usuario15', 'usuario14', 'usuario3'] C 24 -21654.9999714 9790 user
5 usuario15 C ['usuario9', 'usuario12', 'usuario13', 'usuario16'] D 0 -8455.49988747 23602 user
5 usuario12 D ['usuario11', 'usuario3', 'usuario6', 'usuario15'] C 14 -6222.00012207 25097 user
5 usuario3 C ['usuario4', 'usuario16', 'usuario1', 'usuario12'] D 5 -4166.99981689 27875 user
5 usuario14 C ['usuario16', 'usuario13', 'usuario10', 'usuario1'] D 0 -12412.0001793 19401 user
5 usuario13 D ['usuario15', 'usuario6', 'usuario2', 'usuario14'] C 14 -28928.6999702 2835 user
5 usuario6 D ['usuario12', 'usuario1', 'usuario8', 'usuario13'] D 4 -25766.4000988 6055 user
5 usuario1 D ['usuario3', 'usuario14', 'usuario5', 'usuario6'] D 14 -19584.3999386 12371 user
5 usuario10 D ['usuario14', 'usuario2', 'usuario7', 'usuario5'] D 14 -9305.79996109 22744 user
5 usuario2 D ['usuario13', 'usuario8', 'usuario9', 'usuario10'] D 4 -36.4999771118 31547 user
5 usuario8 D ['usuario6', 'usuario5', 'usuario11', 'usuario2'] D 4 -13445.100069 18640 user
5 usuario5 D ['usuario1', 'usuario10', 'usuario4', 'usuario8'] D 9 -13485.699892 18353 user
5 usuario7 C ['usuario10', 'usuario9', 'usuario16', 'usuario4'] C 5 -11368.7999249 20646 user
5 usuario9 D ['usuario2', 'usuario11', 'usuario15', 'usuario7'] C 14 -15564.9001598 16886 user
5 usuario11 D ['usuario8', 'usuario4', 'usuario12', 'usuario9'] D 9 -21749.5999336 10385 user
5 usuario4 C ['usuario5', 'usuario7', 'usuario3', 'usuario11'] D 10 -12410.1998806 19818 user
6 usuario16 D ['usuario7', 'usuario15', 'usuario14', 'usuario3'] D 9 -18646.299839 8589 user
6 usuario15 D ['usuario9', 'usuario12', 'usuario13', 'usuario16'] D 9 -6358.5999012 20359 user
6 usuario12 D ['usuario11', 'usuario3', 'usuario6', 'usuario15'] D 4 -12404.7999382 14668 user
6 usuario3 D ['usuario4', 'usuario16', 'usuario1', 'usuario12'] D 4 -17596.0998535 10003 user
6 usuario14 D ['usuario16', 'usuario13', 'usuario10', 'usuario1'] D 4 -7258.99982452 19953 user
6 usuario13 D ['usuario15', 'usuario6', 'usuario2', 'usuario14'] D 4 -22726.4001369 3855 user
6 usuario6 D ['usuario12', 'usuario1', 'usuario8', 'usuario13'] D 4 -18588.2999897 7857 user
6 usuario1 D ['usuario3', 'usuario14', 'usuario5', 'usuario6'] D 9 -17537.7001762 9218 user
6 usuario10 D ['usuario14', 'usuario2', 'usuario7', 'usuario5'] C 14 -5195.39999962 21864 user
6 usuario2 D ['usuario13', 'usuario8', 'usuario9', 'usuario10'] D 9 -17544.0001488 9715 user
6 usuario8 D ['usuario6', 'usuario5', 'usuario11', 'usuario2'] D 9 -6230.79991341 21233 user
6 usuario5 C ['usuario1', 'usuario10', 'usuario4', 'usuario8'] D 0 -17739.6998405 9318 user
6 usuario7 C ['usuario10', 'usuario9', 'usuario16', 'usuario4'] D 5 -29.5000076294 26899 user
6 usuario9 C ['usuario2', 'usuario11', 'usuario15', 'usuario7'] C 5 -18603.8000584 7669 user
6 usuario11 D ['usuario8', 'usuario4', 'usuario12', 'usuario9'] C 9 -20174.0000248 6919 user
6 usuario4 D ['usuario5', 'usuario7', 'usuario3', 'usuario11'] D 14 -20631.9999695 6556 user
7 usuario16 C ['usuario7', 'usuario15', 'usuario14', 'usuario3'] D 10 -23877.7000904 3862 user
7 usuario15 C ['usuario9', 'usuario12', 'usuario13', 'usuario16'] C 10 -4262.79997826 23774 user
7 usuario12 D ['usuario11', 'usuario3', 'usuario6', 'usuario15'] C 14 -17537.8000736 10709 user
7 usuario3 D ['usuario4', 'usuario16', 'usuario1', 'usuario12'] D 14 -13439.800024 14204 user
7 usuario14 C ['usuario16', 'usuario13', 'usuario10', 'usuario1'] C 15 -6226.99999809 22204 user
7 usuario13 D ['usuario15', 'usuario6', 'usuario2', 'usuario14'] C 14 -18582.7000141 9594 user
7 usuario6 D ['usuario12', 'usuario1', 'usuario8', 'usuario13'] D 9 -10341.0999775 17467 user
7 usuario1 C ['usuario3', 'usuario14', 'usuario5', 'usuario6'] D 5 -13434.9999428 14825 user
7 usuario10 C ['usuario14', 'usuario2', 'usuario7', 'usuario5'] D 5 -3139.10007477 25595 user
7 usuario2 D ['usuario13', 'usuario8', 'usuario9', 'usuario10'] C 14 -8290.99988937 19609 user
7 usuario8 D ['usuario6', 'usuario5', 'usuario11', 'usuario2'] D 9 -11362.8001213 16359 user
7 usuario5 D ['usuario1', 'usuario10', 'usuario4', 'usuario8'] D 14 -17654.5000076 9997 user
7 usuario7 D ['usuario10', 'usuario9', 'usuario16', 'usuario4'] D 19 -36.2000465393 27776 user
7 usuario9 C ['usuario2', 'usuario11', 'usuario15', 'usuario7'] D 10 -17522.4001408 11311 user
7 usuario11 C ['usuario8', 'usuario4', 'usuario12', 'usuario9'] C 5 -17623.3000755 9930 user
7 usuario4 D ['usuario5', 'usuario7', 'usuario3', 'usuario11'] C 9 -18562.4001026 9545 user
8 usuario16 D ['usuario7', 'usuario15', 'usuario14', 'usuario3'] C 14 -17545.1998711 10759 user
8 usuario15 D ['usuario9', 'usuario12', 'usuario13', 'usuario16'] D 4 -2156.59999847 25962 user
8 usuario12 D ['usuario11', 'usuario3', 'usuario6', 'usuario15'] D 9 -7251.60002708 20636 user
8 usuario3 C ['usuario4', 'usuario16', 'usuario1', 'usuario12'] D 10 -8302.00004578 20193 user
8 usuario14 C ['usuario16', 'usuario13', 'usuario10', 'usuario1'] C 5 -7253.40008736 20106 user
8 usuario13 D ['usuario15', 'usuario6', 'usuario2', 'usuario14'] C 9 -25818.500042 1752 user
8 usuario6 D ['usuario12', 'usuario1', 'usuario8', 'usuario13'] D 14 -18591.1002159 9440 user
8 usuario1 C ['usuario3', 'usuario14', 'usuario5', 'usuario6'] D 10 -17550.8999825 10360 user
8 usuario10 D ['usuario14', 'usuario2', 'usuario7', 'usuario5'] D 9 -20695.0998306 6935 user
8 usuario2 D ['usuario13', 'usuario8', 'usuario9', 'usuario10'] D 9 -6217.00000763 21768 user
8 usuario8 C ['usuario6', 'usuario5', 'usuario11', 'usuario2'] D 0 -4162.49990463 23806 user
8 usuario5 D ['usuario1', 'usuario10', 'usuario4', 'usuario8'] C 19 -26113.0001545 2411 user
8 usuario7 D ['usuario10', 'usuario9', 'usuario16', 'usuario4'] C 9 -36.0999107361 28511 user
8 usuario9 D ['usuario2', 'usuario11', 'usuario15', 'usuario7'] D 4 -12411.7999077 14718 user
8 usuario11 D ['usuario8', 'usuario4', 'usuario12', 'usuario9'] D 14 -22818.8998699 5317 user
8 usuario4 C ['usuario5', 'usuario7', 'usuario3', 'usuario11'] D 5 -20629.3001175 6970 user
9 usuario16 C ['usuario7', 'usuario15', 'usuario14', 'usuario3'] C 5 -21719.3000317 6522 user
9 usuario15 D ['usuario9', 'usuario12', 'usuario13', 'usuario16'] C 19 -1095.99995613 26286 user
9 usuario12 D ['usuario11', 'usuario3', 'usuario6', 'usuario15'] D 9 -17541.3999557 10931 user
9 usuario3 C ['usuario4', 'usuario16', 'usuario1', 'usuario12'] D 5 -34.3000888824 27085 user
9 usuario14 D ['usuario16', 'usuario13', 'usuario10', 'usuario1'] D 14 -11358.0999374 16727 user
9 usuario13 C ['usuario15', 'usuario6', 'usuario2', 'usuario14'] D 5 -21657.6001644 5952 user
9 usuario6 D ['usuario12', 'usuario1', 'usuario8', 'usuario13'] C 9 -17539.7999287 11014 user
9 usuario1 D ['usuario3', 'usuario14', 'usuario5', 'usuario6'] D 14 -18558.8998795 8959 user
9 usuario10 D ['usuario14', 'usuario2', 'usuario7', 'usuario5'] C 14 -33.3998203278 27508 user
9 usuario2 C ['usuario13', 'usuario8', 'usuario9', 'usuario10'] D 10 -10346.0998535 17947 user
9 usuario8 D ['usuario6', 'usuario5', 'usuario11', 'usuario2'] C 14 -23715.3000832 4473 user
9 usuario5 C ['usuario1', 'usuario10', 'usuario4', 'usuario8'] D 0 -18673.2001305 9224 user
9 usuario7 D ['usuario10', 'usuario9', 'usuario16', 'usuario4'] D 14 -33.2000255585 27642 user
9 usuario9 C ['usuario2', 'usuario11', 'usuario15', 'usuario7'] D 5 -15460.4001045 12498 user
9 usuario11 D ['usuario8', 'usuario4', 'usuario12', 'usuario9'] C 9 -16620.3000546 11585 user
9 usuario4 D ['usuario5', 'usuario7', 'usuario3', 'usuario11'] D 14 -19592.4999714 9184 user
10 usuario16 D ['usuario7', 'usuario15', 'usuario14', 'usuario3'] D 14 -14458.4000111 14074 user
10 usuario15 D ['usuario9', 'usuario12', 'usuario13', 'usuario16'] D 9 29800.2998829 29753 user
10 usuario12 D ['usuario11', 'usuario3', 'usuario6', 'usuario15'] D 9 -18583.2998753 10392 user
10 usuario3 D ['usuario4', 'usuario16', 'usuario1', 'usuario12'] D 4 -12440.0999546 17016 user
10 usuario14 C ['usuario16', 'usuario13', 'usuario10', 'usuario1'] D 10 -23777.1000862 5900 user
10 usuario13 C ['usuario15', 'usuario6', 'usuario2', 'usuario14'] C 5 -14458.5001469 14762 user
10 usuario6 D ['usuario12', 'usuario1', 'usuario8', 'usuario13'] C 9 -17535.599947 10885 user
10 usuario1 D ['usuario3', 'usuario14', 'usuario5', 'usuario6'] D 9 -19613.699913 9559 user
10 usuario10 C ['usuario14', 'usuario2', 'usuario7', 'usuario5'] D 10 -5202.5001049 24059 user
10 usuario2 D ['usuario13', 'usuario8', 'usuario9', 'usuario10'] C 14 -12410.3000164 16195 user
10 usuario8 D ['usuario6', 'usuario5', 'usuario11', 'usuario2'] D 9 -21667.7000523 6699 user
10 usuario5 D ['usuario1', 'usuario10', 'usuario4', 'usuario8'] D 9 -22859.4999313 6572 user
10 usuario7 C ['usuario10', 'usuario9', 'usuario16', 'usuario4'] D 5 -12382.6999664 16384 user
10 usuario9 D ['usuario2', 'usuario11', 'usuario15', 'usuario7'] C 14 -11355.8001518 17738 user
10 usuario11 C ['usuario8', 'usuario4', 'usuario12', 'usuario9'] D 0 -22804.199934 6058 user
10 usuario4 D ['usuario5', 'usuario7', 'usuario3', 'usuario11'] C 14 -19688.2998943 8819 user
11 usuario16 C ['usuario7', 'usuario15', 'usuario14', 'usuario3'] C 15 -11370.2001572 14740 user
