,Unnamed: 0,userid,a,v,t,z,a_st10,v_st10,t_st10,z_st10,a10,v10,t10,z10,a_st0,v_st0,t_st0,z_st0,a0,v0,t0,z0,a_st20,v_st20,t_st20,z_st20,a20,v20,t20,z20,a_st30,v_st30,t_st30,z_st30,a30,v30,t30,z30,a_st40,v_st40,t_st40,z_st40,a40,v40,t40,z40,s2,s1
0,0,126,7.909708255977581,-0.1194430248352242,0.5835167446103782,0.5729858399511258,0.7159320626995785,0.09840668022969966,0.22905207345809303,0.08577552360055161,6.346467373822278,-0.030971952872664545,0.453883575419294,0.5150287922243831,0.7731939097923772,0.10269039200935548,0.22689576462210054,0.08759918249893249,6.5704738754430005,-0.12560136290057167,0.4422424315075956,0.5328903253081132,0.7159184684114982,0.0951037987497938,0.22628558232391224,0.08303884929630598,6.529467838050906,-0.08168929837760605,0.4479627587523569,0.5165421252472143,0.8093395478711276,0.0849834828135535,0.21712074685731875,0.08247141577277782,7.36256532099838,-0.12398093523074162,0.4388444632933645,0.5375570902669697,0.6847040747696423,0.1317181625524068,0.2354329493489689,0.09329274947685916,5.401843791018933,0.0409128589188819,0.4600044636827865,0.5065278451366846,51.0,-14
1,46,64,4.237134076068938,-0.1818630497640244,1.350816890049387,0.50048994084112,0.5217468694616818,0.1889769373887335,0.2992729009865519,0.08454373943169369,3.917662465432058,-0.19442765998308734,0.5883691268319512,0.5342134644099313,0.6651558265253152,0.1183172618565118,0.2367257592874237,0.08554962701193516,5.565325966172287,0.04658417392362438,0.4679393146826775,0.4803885859403632,0.5124324743942597,0.2108907635824109,0.3218309875979662,0.08768458334869887,3.6834840550700583,-0.2097873788135928,0.6359129884487605,0.5335346367307423,0.6647033528747232,0.17847423183404534,0.2563309983349573,0.0878856903010586,4.671714699239075,-0.3945658435780589,0.5223534760264661,0.5489517978610564,0.9161265168414718,0.3100041896342087,0.3065072407598115,0.09006742586112335,4.513165509617995,-0.8306504604214742,0.6009594023795807,0.6023423506884253,76.0,-17
2,93,143,5.248209170901955,-0.21970765672223946,0.8801053608272408,0.5607287612865361,0.5855275980882475,0.15414384443632648,0.2652969765352167,0.08769473209589987,4.568107126648223,-0.03936705584857656,0.5264110585456537,0.5014110867321498,0.5867177389077342,0.1304326291518257,0.2260902530145718,0.08413027846061209,5.054794921053167,-0.058369694313568185,0.4640572236622162,0.5401158273691323,0.6369212184638467,0.1470678434620844,0.2423245197799889,0.08618792515363971,4.869600550879147,-0.21632033121292624,0.4923981294647698,0.5158533487707817,0.6128702682535601,0.15776668068615232,0.2661176704678047,0.08543350742218224,4.748895648676192,-0.2571530311583439,0.5239449029207496,0.5449108271501178,0.6236565992198765,0.1546581667168339,0.22918708248586775,0.0899771185182915,4.8269418643305455,-0.16621999403218315,0.4706067729175694,0.5407435632981145,79.0,-19
3,140,115,6.8682903924311365,-0.3177935567606775,0.3990635158204733,0.4933499385741936,0.7373777259703971,0.12344131378288235,0.2370039595058678,0.08723186739010265,5.840784987732648,-0.2629336102632395,0.4688518679791946,0.5423431054833168,0.9812702571976756,0.10680818915923272,0.2266435319617765,0.08583955332612052,7.303999187008665,-0.27485779840229224,0.4499919497275653,0.5819206892624383,0.6830307105376324,0.13606478029054386,0.2341637104316606,0.08481934234727051,5.4086788514728745,-0.29065050250304403,0.46211611697229205,0.5418078256130386,0.6124271457514446,0.15743088906064587,0.20745604160755912,0.08668262412452213,4.707361305117708,-0.29712595111819606,0.453423207053154,0.4854613659121517,0.7423539519300701,0.17150436445047818,0.22391967179552724,0.09103189370089246,4.9822316239000255,-0.3980297799002509,0.4589503065098762,0.5190161920682935,-388.0,-40
4,186,122,4.5530567721567285,0.01632375110672867,1.2071783332345938,0.451437426809375,0.6102175151950756,0.15303712299687572,0.2493727971051904,0.08763379515263847,4.734390299048441,-0.22572265798093225,0.5025333426904094,0.5154463127066582,0.5820228552953877,0.13861996359932252,0.25766583671681065,0.08595216072355656,4.888390343812634,0.07260783378093444,0.505918401788117,0.4575745866950752,0.5603675795422884,0.16238511818214665,0.2736058076650645,0.08892160891345463,4.38868677678284,-0.1350111674469131,0.5313298282887953,0.5025149317501718,0.5761792332927503,0.15873504529486585,0.2575477962265081,0.08854312628690614,4.524402664847214,0.06603606745188373,0.5180834044067931,0.4818190446132176,0.5294292381180404,0.22200018489917847,0.28220150656857323,0.0938942230221737,3.703202942797252,0.1214726541500013,0.5619174988565622,0.4643658350441585,315.0,-3
5,233,97,5.743299879374098,-0.3013476774142998,1.0182666370920537,0.5396115478033565,0.751159459154935,0.1440860521032864,0.2517349010580117,0.08892140993258353,5.678626721280919,-0.3260112228565153,0.4988432189673847,0.5735056417806642,0.6571338388592056,0.12775596601955605,0.24310755963719116,0.08887334271339355,5.401625536335796,-0.11443866498405568,0.4854467310302092,0.5200765669282034,0.6524700672842357,0.133704424593745,0.2490601468258621,0.08903155454622755,5.203087002579087,-0.12609867700825253,0.4904115185599622,0.5275821610153204,0.6780755419494389,0.17493849973879005,0.2603201874930989,0.0890271808631653,4.806935680834974,-0.4009175810505954,0.5252318039724366,0.5621029837017724,0.8635015125052605,0.21560432402011115,0.2623025475949762,0.09201148051694363,4.948395260966549,-0.5623745309220408,0.5166204117252912,0.5788889355795658,-153.0,-29
6,280,14,6.350323093477575,-0.1568696617204449,0.3601927147811886,0.4469152975209706,0.5657482346836651,0.1512121864697963,0.23100267021060986,0.08611818895768192,4.629001623714139,-0.059820551551735573,0.472985031828452,0.469311522235426,0.6131738779848804,0.1307438900256782,0.24075408119980424,0.08709294339993011,5.175422877135874,-0.0116176988704666,0.4929405597365633,0.4693355277775303,0.5846783456730708,0.1022902889690762,0.15226154365100614,0.07606668144981668,5.780184697279174,-0.1639579142793065,0.3331421879797322,0.4637831130595366,0.8043487919330358,0.08862745165573876,0.19877236127449785,0.0823270236946617,7.1438127147216,-0.20782508687092946,0.4064095266698856,0.4977873398214804,0.6111645401571663,0.15782403227381508,0.21726236118241948,0.08640869911183996,4.827241922905374,-0.2448071146784599,0.4522834115051117,0.516120693292113,-64.0,-28
7,326,89,6.252149556825128,-0.05093711533202401,0.6855456480458642,0.5258354177438094,0.6139413041592013,0.13154545192298625,0.2352306107211003,0.08689724712324091,5.157568845298164,-0.11435006060075804,0.4707317266740096,0.5123380758241128,0.7870983181508593,0.0877014023656983,0.2203484661109656,0.085003162504673,7.036922981284447,-0.03051473018715022,0.4447664548563957,0.5212250195856655,0.6140386676189842,0.1390502295077069,0.22944605995348244,0.08654498776014112,5.0534316347399,0.1365032943062775,0.4783585223990634,0.4741440050235597,0.6395171984783027,0.13273276600420272,0.2448040771549297,0.08476523192788224,5.233467489517019,-0.14208489580734987,0.4886141310382112,0.550523420699076,0.6574228187581274,0.13143657193687822,0.227201940635426,0.09282349951532387,5.335320065418375,0.047965464620946606,0.4569001773393329,0.4900624343973853,71.0,-5
8,373,7,4.075729738919324,0.3612136124577728,1.6238007677890425,0.477421659602658,0.5992656592930129,0.1854845746017957,0.28491426164436906,0.0883277999122113,4.309029855646717,0.31129429530879243,0.559894612957485,0.4527101880313511,0.7266501212469786,0.1547863773100931,0.26363784422341163,0.08462976190763533,5.219952821885962,0.29191903447689943,0.5226670415036156,0.4092885778265981,0.6813079179976449,0.2369058317662669,0.323383672689758,0.08600145504784783,4.146202155434836,0.6092632310341045,0.6360253482044704,0.4121471241209478,0.5295159445685677,0.2174459319131002,0.3792415314714688,0.08902812094975397,3.5813464268312094,0.1996139442005104,0.6841447904104566,0.4946340213471887,0.6850074804240132,0.1840616933202208,0.24960964177048,0.08907367974135696,4.606679298632415,0.3537859287240788,0.4994433037782079,0.4444614437912087,619.0,27
9,420,52,4.572993014649193,-0.0863338250800529,0.910768132005318,0.5230312936788798,0.5858182439411123,0.13783438073126086,0.2616665813691278,0.08599865304633633,4.856837968354636,-0.04059870602935332,0.5059536768376867,0.5057589402698203,0.5603538165596602,0.1471953462354455,0.2564032125557182,0.08404430895793617,4.637721952806847,-0.07845386490236905,0.510699041928067,0.549547206911441,0.5375332146342293,0.14827243824520708,0.2411875296551921,0.08310022701092543,4.602335466282397,-0.12854356038562414,0.4885180859898027,0.514682548445955,0.5358462552693619,0.2102744578044096,0.342928888747274,0.08797052100489572,3.7029779054278267,-0.20466593019647208,0.6358899834315025,0.5296797359480968,0.5006140212778988,0.2380369403244192,0.2856776883295361,0.0922297697207386,3.4015142434401926,0.09844248397256758,0.5799119096619286,0.4906364103462952,-17.0,-7
