,userid,a,v,t,z,a_st10,v_st10,t_st10,z_st10,a10,v10,t10,z10,a_st0,v_st0,t_st0,z_st0,a0,v0,t0,z0,a_st20,v_st20,t_st20,z_st20,a20,v20,t20,z20,a_st30,v_st30,t_st30,z_st30,a30,v30,t30,z30,a_st40,v_st40,t_st40,z_st40,a40,v40,t40,z40
0,126,7.9097082559775815,-0.1194430248352242,0.5835167446103782,0.5729858399511258,0.7159320626995785,0.09840668022969966,0.229052073458093,0.08577552360055161,6.346467373822277,-0.030971952872664542,0.45388357541929397,0.5150287922243831,0.7731939097923772,0.10269039200935547,0.22689576462210057,0.08759918249893249,6.570473875443001,-0.12560136290057167,0.44224243150759557,0.5328903253081132,0.7159184684114982,0.09510379874979379,0.22628558232391224,0.08303884929630598,6.529467838050908,-0.08168929837760605,0.44796275875235686,0.5165421252472143,0.8093395478711276,0.0849834828135535,0.21712074685731875,0.08247141577277783,7.36256532099838,-0.12398093523074162,0.4388444632933645,0.5375570902669697,0.6847040747696423,0.13171816255240681,0.2354329493489689,0.09329274947685917,5.401843791018933,0.0409128589188819,0.4600044636827865,0.5065278451366846
46,64,4.237134076068938,-0.1818630497640244,1.3508168900493873,0.50048994084112,0.5217468694616818,0.1889769373887335,0.2992729009865519,0.08454373943169369,3.9176624654320586,-0.19442765998308734,0.5883691268319512,0.5342134644099313,0.6651558265253152,0.11831726185651181,0.2367257592874237,0.08554962701193516,5.565325966172286,0.04658417392362438,0.4679393146826775,0.48038858594036316,0.5124324743942597,0.2108907635824109,0.3218309875979662,0.08768458334869887,3.6834840550700587,-0.20978737881359277,0.6359129884487605,0.5335346367307423,0.6647033528747232,0.17847423183404534,0.25633099833495726,0.0878856903010586,4.671714699239075,-0.3945658435780589,0.5223534760264661,0.5489517978610564,0.9161265168414718,0.31000418963420867,0.3065072407598115,0.09006742586112335,4.513165509617994,-0.830650460421474,0.6009594023795807,0.6023423506884253
93,143,5.248209170901955,-0.21970765672223946,0.8801053608272408,0.5607287612865361,0.5855275980882475,0.15414384443632648,0.26529697653521667,0.08769473209589987,4.568107126648223,-0.039367055848576554,0.5264110585456537,0.5014110867321498,0.5867177389077342,0.1304326291518257,0.2260902530145718,0.08413027846061209,5.054794921053167,-0.05836969431356819,0.46405722366221624,0.5401158273691323,0.6369212184638467,0.1470678434620844,0.24232451977998887,0.08618792515363971,4.869600550879147,-0.21632033121292626,0.49239812946476985,0.5158533487707817,0.6128702682535601,0.15776668068615232,0.2661176704678047,0.08543350742218224,4.748895648676191,-0.25715303115834387,0.5239449029207496,0.5449108271501178,0.6236565992198765,0.1546581667168339,0.22918708248586778,0.0899771185182915,4.826941864330546,-0.16621999403218315,0.47060677291756936,0.5407435632981145
140,115,6.868290392431136,-0.3177935567606775,0.39906351582047334,0.4933499385741936,0.7373777259703971,0.12344131378288234,0.2370039595058678,0.08723186739010265,5.840784987732647,-0.2629336102632395,0.4688518679791946,0.5423431054833168,0.9812702571976756,0.10680818915923272,0.22664353196177653,0.08583955332612052,7.303999187008664,-0.27485779840229224,0.4499919497275653,0.5819206892624383,0.6830307105376324,0.13606478029054386,0.2341637104316606,0.08481934234727051,5.4086788514728745,-0.29065050250304403,0.462116116972292,0.5418078256130386,0.6124271457514446,0.15743088906064587,0.20745604160755912,0.08668262412452213,4.707361305117707,-0.297125951118196,0.453423207053154,0.48546136591215167,0.7423539519300701,0.17150436445047818,0.22391967179552724,0.09103189370089246,4.982231623900025,-0.3980297799002509,0.4589503065098762,0.5190161920682935
186,122,4.5530567721567285,0.01632375110672867,1.2071783332345938,0.45143742680937504,0.6102175151950756,0.15303712299687572,0.24937279710519036,0.08763379515263847,4.734390299048441,-0.22572265798093222,0.5025333426904094,0.5154463127066582,0.5820228552953877,0.13861996359932252,0.25766583671681065,0.08595216072355656,4.888390343812634,0.07260783378093444,0.505918401788117,0.4575745866950752,0.5603675795422884,0.16238511818214665,0.2736058076650645,0.08892160891345464,4.38868677678284,-0.1350111674469131,0.5313298282887953,0.5025149317501718,0.5761792332927503,0.15873504529486585,0.25754779622650814,0.08854312628690614,4.524402664847214,0.06603606745188373,0.5180834044067931,0.4818190446132176,0.5294292381180404,0.22200018489917847,0.28220150656857323,0.0938942230221737,3.703202942797252,0.1214726541500013,0.5619174988565622,0.46436583504415846
233,97,5.743299879374099,-0.3013476774142998,1.0182666370920535,0.5396115478033565,0.751159459154935,0.1440860521032864,0.2517349010580117,0.08892140993258354,5.678626721280919,-0.32601122285651535,0.4988432189673847,0.5735056417806642,0.6571338388592056,0.12775596601955605,0.24310755963719113,0.08887334271339355,5.401625536335796,-0.11443866498405567,0.4854467310302092,0.5200765669282034,0.6524700672842357,0.133704424593745,0.24906014682586208,0.08903155454622755,5.203087002579087,-0.12609867700825253,0.4904115185599622,0.5275821610153204,0.6780755419494389,0.17493849973879003,0.2603201874930989,0.0890271808631653,4.806935680834975,-0.4009175810505954,0.5252318039724366,0.5621029837017724,0.8635015125052605,0.21560432402011115,0.2623025475949762,0.09201148051694363,4.94839526096655,-0.5623745309220408,0.5166204117252912,0.5788889355795658
280,14,6.350323093477575,-0.1568696617204449,0.3601927147811886,0.4469152975209706,0.565748234683665,0.1512121864697963,0.23100267021060983,0.08611818895768192,4.629001623714139,-0.05982055155173558,0.47298503182845203,0.469311522235426,0.6131738779848804,0.1307438900256782,0.24075408119980424,0.08709294339993011,5.175422877135874,-0.0116176988704666,0.49294055973656326,0.4693355277775303,0.5846783456730708,0.10229028896907619,0.15226154365100614,0.07606668144981668,5.780184697279175,-0.1639579142793065,0.3331421879797322,0.46378311305953657,0.8043487919330358,0.08862745165573876,0.19877236127449785,0.0823270236946617,7.1438127147216,-0.20782508687092946,0.40640952666988556,0.49778733982148043,0.6111645401571663,0.15782403227381508,0.21726236118241948,0.08640869911183996,4.827241922905374,-0.24480711467845992,0.4522834115051117,0.516120693292113
326,89,6.252149556825129,-0.05093711533202401,0.6855456480458642,0.5258354177438094,0.6139413041592013,0.13154545192298625,0.23523061072110032,0.08689724712324091,5.157568845298164,-0.11435006060075804,0.4707317266740096,0.5123380758241128,0.7870983181508593,0.0877014023656983,0.22034846611096562,0.085003162504673,7.036922981284448,-0.03051473018715022,0.4447664548563957,0.5212250195856655,0.6140386676189842,0.1390502295077069,0.22944605995348244,0.08654498776014113,5.0534316347398995,0.1365032943062775,0.4783585223990634,0.4741440050235597,0.6395171984783027,0.13273276600420272,0.24480407715492974,0.08476523192788224,5.233467489517019,-0.14208489580734987,0.4886141310382112,0.550523420699076,0.6574228187581274,0.13143657193687822,0.227201940635426,0.09282349951532387,5.335320065418375,0.047965464620946606,0.45690017733933286,0.4900624343973853
373,7,4.075729738919324,0.3612136124577728,1.6238007677890425,0.47742165960265803,0.5992656592930129,0.1854845746017957,0.28491426164436906,0.0883277999122113,4.309029855646717,0.31129429530879243,0.559894612957485,0.45271018803135105,0.7266501212469786,0.1547863773100931,0.26363784422341163,0.08462976190763533,5.219952821885962,0.29191903447689943,0.5226670415036156,0.40928857782659805,0.6813079179976449,0.23690583176626695,0.323383672689758,0.08600145504784783,4.146202155434836,0.6092632310341045,0.6360253482044704,0.4121471241209478,0.5295159445685677,0.2174459319131002,0.3792415314714688,0.08902812094975397,3.5813464268312094,0.19961394420051037,0.6841447904104566,0.49463402134718865,0.6850074804240132,0.18406169332022082,0.24960964177048,0.08907367974135696,4.6066792986324145,0.3537859287240788,0.4994433037782079,0.4444614437912087
420,52,4.572993014649194,-0.0863338250800529,0.9107681320053181,0.5230312936788798,0.5858182439411123,0.13783438073126084,0.2616665813691278,0.08599865304633632,4.856837968354636,-0.04059870602935332,0.5059536768376867,0.5057589402698203,0.5603538165596602,0.1471953462354455,0.2564032125557182,0.08404430895793617,4.637721952806846,-0.07845386490236905,0.510699041928067,0.549547206911441,0.5375332146342293,0.14827243824520708,0.24118752965519213,0.08310022701092543,4.602335466282396,-0.12854356038562417,0.48851808598980273,0.514682548445955,0.5358462552693619,0.21027445780440962,0.342928888747274,0.08797052100489572,3.702977905427827,-0.20466593019647206,0.6358899834315025,0.5296797359480968,0.5006140212778988,0.23803694032441916,0.2856776883295361,0.09222976972073861,3.4015142434401926,0.09844248397256758,0.5799119096619286,0.49063641034629524
